"organization_type_choice","country","current_position_choice","years_research_exp","years_program_exp","gender","research_area","program_freq","peer_review","program_lang_choice","code_publishing","code_reuse_inner","code_reuse_outer","devel_practices","devel_practices_freq_version","devel_practices_freq_review","devel_practices_freq_ci","devel_practices_freq_unit","devel_practices_freq_regression","devel_practices_freq_system","code_reviewer_choice","genai_tool_exp_choice","genai_tool_freq","genai_primary_tool_choice","genai_access_mode_choice","genai_lines_accepted","space_s1","space_p1","space_p2","space_a1","space_c1","space_c2","space_e1","space_e2","space_global"
"Higher education","United States of America","Student research assistant",4,5,"Man","Social sciences","Daily",NA,"Python,R","Always","Sometimes","Sometimes","Version control,Code testing,Code review","Most of the time","Sometimes",NA,"Most of the time","Always","Never","A supervisor","ChatGPT,A custom tool provided by organization,GitHub Copilot,Claude","Most of the time","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","1-5 lines","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Strongly agree"
"Higher education","United States of America","Other (self-describe)",1,1,"Man","Other","Weekly",NA,"Python,FORTRAN,Bash",NA,NA,NA,"I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Most of the time","ChatGPT","Through a web browser",NA,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Research staff",12,20,"Man","Physical sciences","Weekly",NA,"Python","Sometimes","Sometimes","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,NA,"Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Faculty",13,15,"Man","Social sciences","Monthly",NA,"Python","Sometimes","Never","Never","Version control,Code testing,Code review","Sometimes","Never",NA,"Sometimes","Never","Never",NA,"ChatGPT,GitHub Copilot,Cursor","Always","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","1-5 lines","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",10,13,"Woman","Physical sciences","Daily",NA,"Python","Sometimes","Sometimes","Sometimes","Version control,Code testing,Code review","Most of the time","Sometimes",NA,"Never","Never","Never","A peer in your research group","ChatGPT,GitHub Copilot,Cursor","Sometimes","Cursor","With a desktop app","1-5 lines","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree"
"Other (self-describe)","United States of America","Research staff",16,10,"Non-binary / gender-diverse","Life sciences","Daily",NA,"R,Bash","Most of the time","Most of the time","Sometimes","Version control,Code testing,Code review","Sometimes","Sometimes",NA,"Sometimes","Never","Never","A peer in your research group","ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",5,5,"Woman","Engineering","Monthly",NA,"Python,MATLAB","Never","Sometimes","Never","Version control","Sometimes",NA,NA,NA,NA,NA,NA,"ChatGPT,A custom tool provided by organization","Sometimes","A custom tool provided by organization","Through a web browser","I don't use genAI to produce code suggestions directly","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree"
"Higher education","United States of America","Post-doctoral researcher",10,7,"Prefer not to say","Psychology","Weekly",NA,"Python,MATLAB,Julia","Always","About half the time","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"GitHub Copilot,Other (please write in)","Sometimes","Other (please write in)","Through a web browser","1-5 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Other (self-describe)",21,35,"Man","Life sciences","Daily",NA,"Python,R,MATLAB,Bash","Most of the time","About half the time","Sometimes","Version control,Code testing,Code review","Sometimes","Sometimes",NA,"Never","Never","Never","A peer in your research group","Other (please write in)","Sometimes","Other (please write in)","Through a web browser","1-5 lines","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Faculty",26,26,"Man","Computer and information services","Daily",NA,"Python,JavaScript","Most of the time","About half the time","About half the time","Version control,Code testing,Code review,Continuous integration","Always","Never","Never","Sometimes","Never","Sometimes",NA,"ChatGPT,A custom tool provided by organization,GitHub Copilot,Cursor,Claude","Always","Cursor","With a desktop app",">100 lines","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree"
